#Device;NGC103
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.005-02.430-03.730
#Serial No.;000100954
 #Mode;Unlimited
#Logging Interval[s];0.001
#Specified Logging Count;-----
#Specified Logging Time[s];-----
 #Sequence;Off
 #CH1 Voltage Target[V];4.200
#CH1 Current Target[A];0.200
#CH1 Sequence Delay[s];-----
#CH1 EasyArb;Off
#CH1 OVP;Off
#CH1 OPP;Off
#CH1 Ramp;Off
#CH1 Analog in;Off
 #Start Time;00:43:54
#Stop Time;00:44:23
 #Actual Count; 29911      
 U1[V];I1[A];Timestamp
4.196;0.1260;00:44:07:776
4.196;0.0920;00:44:07:777
4.204;0.1260;00:44:07:778
4.196;0.1250;00:44:07:779
4.196;0.1260;00:44:07:780
4.204;0.0590;00:44:07:781
4.196;0.1240;00:44:07:782
4.188;0.1220;00:44:07:783
4.196;0.1250;00:44:07:784
4.212;0.0610;00:44:07:785
4.188;0.1230;00:44:07:786
4.204;0.0590;00:44:07:787
4.196;0.1250;00:44:07:788
4.196;0.0760;00:44:07:789
4.204;0.1160;00:44:07:790
4.196;0.0590;00:44:07:791
4.204;0.1250;00:44:07:792
4.196;0.1260;00:44:07:793
4.196;0.0590;00:44:07:794
4.228;0.0610;00:44:07:795
4.180;0.1230;00:44:07:796
4.196;0.1260;00:44:07:797
4.220;0.0600;00:44:07:798
4.196;0.0630;00:44:07:799
4.204;0.1210;00:44:07:800
4.196;0.1250;00:44:07:801
4.196;0.0630;00:44:07:802
4.196;0.1260;00:44:07:803
4.196;0.0590;00:44:07:804
4.196;0.1250;00:44:07:805
4.196;0.1260;00:44:07:806
4.196;0.1260;00:44:07:807
4.204;0.0600;00:44:07:808
4.196;0.1240;00:44:07:809
4.196;0.1260;00:44:07:810
4.196;0.1260;00:44:07:811
4.220;0.0620;00:44:07:812
4.188;0.1220;00:44:07:813
4.196;0.1260;00:44:07:814
4.196;0.1250;00:44:07:815
4.196;0.1260;00:44:07:816
4.204;0.0470;00:44:07:817
4.196;0.1000;00:44:07:818
4.196;0.1000;00:44:07:819
4.204;0.1000;00:44:07:820
4.188;0.0310;00:44:07:821
4.204;0.1000;00:44:07:822
4.196;0.0980;00:44:07:823
4.188;0.1000;00:44:07:824
4.228;0.0320;00:44:07:825
4.180;0.0980;00:44:07:826
4.196;0.0960;00:44:07:827
4.188;0.1000;00:44:07:828
4.196;0.0350;00:44:07:829
4.212;0.0960;00:44:07:830
4.188;0.0310;00:44:07:831
4.204;0.1000;00:44:07:832
4.196;0.1000;00:44:07:833
4.196;0.0310;00:44:07:834
4.196;0.0310;00:44:07:835
4.196;0.0990;00:44:07:836
4.196;0.1000;00:44:07:837
4.204;0.0310;00:44:07:838
4.196;0.0340;00:44:07:839
4.180;0.0970;00:44:07:840
4.196;0.1000;00:44:07:841
4.204;0.0690;00:44:07:842
4.196;0.1000;00:44:07:843
4.196;0.0670;00:44:07:844
4.196;0.1000;00:44:07:845
4.196;0.0780;00:44:07:846
4.196;0.0960;00:44:07:847
4.196;0.0680;00:44:07:848
4.204;0.1000;00:44:07:849
4.196;0.1000;00:44:07:850
4.196;0.0680;00:44:07:851
4.212;0.0680;00:44:07:852
4.188;0.1000;00:44:07:853
4.196;0.1000;00:44:07:854
4.212;0.0680;00:44:07:855
4.196;0.0700;00:44:07:856
4.204;0.0980;00:44:07:857
4.196;0.1000;00:44:07:858
4.196;0.0700;00:44:07:859
4.204;0.1000;00:44:07:860
4.196;0.0680;00:44:07:861
4.196;0.1000;00:44:07:862
4.196;0.1000;00:44:07:863
4.196;0.1000;00:44:07:864
4.204;0.0680;00:44:07:865
4.196;0.1000;00:44:07:866
4.196;0.1000;00:44:07:867
4.188;0.1000;00:44:07:868
4.212;0.0700;00:44:07:869
4.196;0.0990;00:44:07:870
4.196;0.1000;00:44:07:871
4.196;0.1000;00:44:07:872
4.196;0.1000;00:44:07:873
4.204;0.0680;00:44:07:874
4.196;0.1000;00:44:07:875
4.204;0.1000;00:44:07:876
4.196;0.1000;00:44:07:877
4.196;0.0680;00:44:07:878
4.196;0.1000;00:44:07:879
4.188;0.1000;00:44:07:880
4.196;0.1000;00:44:07:881
4.212;0.0690;00:44:07:882
4.188;0.1000;00:44:07:883
4.204;0.0980;00:44:07:884
4.196;0.1000;00:44:07:885
4.196;0.0700;00:44:07:886
4.204;0.0980;00:44:07:887
4.196;0.0680;00:44:07:888
4.196;0.1000;00:44:07:889
4.196;0.1000;00:44:07:890
4.196;0.0680;00:44:07:891
4.204;0.0680;00:44:07:892
4.196;0.1000;00:44:07:893
4.196;0.1000;00:44:07:894
4.204;0.0680;00:44:07:895
4.220;0.0700;00:44:07:896
4.180;0.0990;00:44:07:897
4.188;0.1000;00:44:07:898
4.212;0.0690;00:44:07:899
4.196;0.1000;00:44:07:900
4.196;0.0660;00:44:07:901
4.196;0.1000;00:44:07:902
4.196;0.1000;00:44:07:903
4.196;0.1000;00:44:07:904
4.196;0.0660;00:44:07:905
4.196;0.1000;00:44:07:906
4.196;0.1000;00:44:07:907
4.196;0.1000;00:44:07:908
4.212;0.0670;00:44:07:909
4.188;0.1000;00:44:07:910
4.196;0.1000;00:44:07:911
4.212;0.1000;00:44:07:912
4.196;0.0680;00:44:07:913
4.204;0.0980;00:44:07:914
4.196;0.1000;00:44:07:915
4.196;0.1200;00:44:07:916
4.196;0.1210;00:44:07:917
4.196;0.0880;00:44:07:918
4.196;0.1210;00:44:07:919
4.196;0.1210;00:44:07:920
4.196;0.1220;00:44:07:921
4.204;0.0890;00:44:07:922
4.196;0.1210;00:44:07:923
4.196;0.1190;00:44:07:924
4.196;0.1220;00:44:07:925
4.220;0.0900;00:44:07:926
4.188;0.1190;00:44:07:927
4.196;0.0880;00:44:07:928
4.196;0.1220;00:44:07:929
4.196;0.1220;00:44:07:930
4.196;0.0880;00:44:07:931
4.196;0.0890;00:44:07:932
4.204;0.1220;00:44:07:933
4.196;0.1220;00:44:07:934
4.196;0.0880;00:44:07:935
4.204;0.1220;00:44:07:936
4.188;0.1200;00:44:07:937
4.196;0.1220;00:44:07:938
4.212;0.0900;00:44:07:939
4.188;0.1210;00:44:07:940
4.204;0.1190;00:44:07:941
4.196;0.1220;00:44:07:942
4.196;0.0910;00:44:07:943
4.204;0.1190;00:44:07:944
4.196;0.0880;00:44:07:945
4.204;0.1220;00:44:07:946
4.196;0.1220;00:44:07:947
4.196;0.0880;00:44:07:948
4.204;0.0890;00:44:07:949
4.196;0.1210;00:44:07:950
4.196;0.1220;00:44:07:951
4.204;0.0890;00:44:07:952
4.220;0.0900;00:44:07:953
4.188;0.1200;00:44:07:954
4.196;0.1220;00:44:07:955
4.212;0.0900;00:44:07:956
4.196;0.1220;00:44:07:957
4.196;0.0890;00:44:07:958
4.196;0.1220;00:44:07:959
4.196;0.1220;00:44:07:960
4.196;0.1220;00:44:07:961
4.196;0.0570;00:44:07:962
4.204;0.1210;00:44:07:963
4.196;0.1220;00:44:07:964
4.196;0.1220;00:44:07:965
4.220;0.0580;00:44:07:966
4.180;0.1200;00:44:07:967
4.196;0.1220;00:44:07:968
4.196;0.1220;00:44:07:969
4.196;0.0610;00:44:07:970
4.204;0.1170;00:44:07:971
4.188;0.1220;00:44:07:972
4.196;0.1210;00:44:07:973
4.196;0.1220;00:44:07:974
4.188;0.0570;00:44:07:975
4.196;0.1220;00:44:07:976
4.188;0.1210;00:44:07:977
4.196;0.1220;00:44:07:978
4.204;0.0570;00:44:07:979
4.196;0.1210;00:44:07:980
4.172;0.1180;00:44:07:981
4.196;0.1220;00:44:07:982
4.220;0.0600;00:44:07:983
4.188;0.1190;00:44:07:984
4.196;0.0570;00:44:07:985
4.196;0.1220;00:44:07:986
4.196;0.1220;00:44:07:987
4.204;0.0690;00:44:07:988
4.196;0.0570;00:44:07:989
4.204;0.1210;00:44:07:990
4.196;0.1220;00:44:07:991
4.196;0.0570;00:44:07:992
4.220;0.0580;00:44:07:993
4.180;0.1200;00:44:07:994
4.196;0.1220;00:44:07:995
4.220;0.0580;00:44:07:996
4.196;0.0610;00:44:07:997
4.204;0.1170;00:44:07:998
4.196;0.1220;00:44:07:999
4.196;0.0610;00:44:08:000
4.204;0.1220;00:44:08:001
4.196;0.0570;00:44:08:002
4.196;0.1220;00:44:08:003
4.196;0.1220;00:44:08:004
4.196;0.1220;00:44:08:005
4.204;0.0570;00:44:08:006
4.196;0.1210;00:44:08:007
4.196;0.1220;00:44:08:008
4.196;0.1220;00:44:08:009
4.228;0.0600;00:44:08:010
4.188;0.1190;00:44:08:011
4.196;0.1220;00:44:08:012
4.212;0.1220;00:44:08:013
4.196;0.1220;00:44:08:014
4.204;0.0310;00:44:08:015
4.196;0.0970;00:44:08:016
4.180;0.0970;00:44:08:017
4.204;0.0970;00:44:08:018
4.196;0.0300;00:44:08:019
4.196;0.0970;00:44:08:020
4.196;0.0970;00:44:08:021
4.196;0.0980;00:44:08:022
4.220;0.0670;00:44:08:023
4.188;0.0970;00:44:08:024
4.196;0.0960;00:44:08:025
4.196;0.0970;00:44:08:026
4.188;0.0690;00:44:08:027
4.204;0.0960;00:44:08:028
4.196;0.0970;00:44:08:029
4.196;0.0970;00:44:08:030
4.196;0.1190;00:44:08:031
4.196;0.0670;00:44:08:032
4.196;0.0970;00:44:08:033
4.196;0.0970;00:44:08:034
4.204;0.0980;00:44:08:035
4.204;0.0670;00:44:08:036
4.196;0.0970;00:44:08:037
4.188;0.0960;00:44:08:038
4.196;0.0970;00:44:08:039
4.204;0.0680;00:44:08:040
4.196;0.0970;00:44:08:041
4.196;0.0670;00:44:08:042
4.196;0.0970;00:44:08:043
4.180;0.0940;00:44:08:044
4.196;0.0910;00:44:08:045
4.196;0.0670;00:44:08:046
4.204;0.0970;00:44:08:047
4.204;0.0980;00:44:08:048
4.196;0.0670;00:44:08:049
4.220;0.0670;00:44:08:050
4.188;0.0970;00:44:08:051
4.196;0.0970;00:44:08:052
4.220;0.0670;00:44:08:053
4.188;0.0690;00:44:08:054
4.204;0.0960;00:44:08:055
4.188;0.0970;00:44:08:056
4.188;0.0690;00:44:08:057
4.196;0.1180;00:44:08:058
4.196;0.0670;00:44:08:059
4.196;0.0970;00:44:08:060
4.196;0.1190;00:44:08:061
4.204;0.0970;00:44:08:062
4.204;0.0670;00:44:08:063
4.196;0.0970;00:44:08:064
4.196;0.0980;00:44:08:065
4.196;0.0970;00:44:08:066
4.212;0.0680;00:44:08:067
4.196;0.0970;00:44:08:068
4.196;0.0970;00:44:08:069
4.196;0.0970;00:44:08:070
4.180;0.1130;00:44:08:071
4.196;0.0880;00:44:08:072
4.196;0.0970;00:44:08:073
4.204;0.0970;00:44:08:074
4.196;0.0970;00:44:08:075
4.196;0.0670;00:44:08:076
4.196;0.0970;00:44:08:077
4.188;0.0970;00:44:08:078
4.196;0.0970;00:44:08:079
4.228;0.0640;00:44:08:080
4.188;0.0970;00:44:08:081
4.204;0.0960;00:44:08:082
4.196;0.0970;00:44:08:083
4.188;0.0660;00:44:08:084
4.204;0.0960;00:44:08:085
4.196;0.0640;00:44:08:086
4.204;0.0970;00:44:08:087
4.196;0.1190;00:44:08:088
4.196;0.0640;00:44:08:089
4.196;0.0640;00:44:08:090
4.196;0.0970;00:44:08:091
4.204;0.0980;00:44:08:092
4.204;0.0640;00:44:08:093
4.196;0.0650;00:44:08:094
4.196;0.0970;00:44:08:095
4.196;0.0980;00:44:08:096
4.212;0.0650;00:44:08:097
4.196;0.1190;00:44:08:098
4.196;0.0650;00:44:08:099
4.196;0.0970;00:44:08:100
4.180;0.0710;00:44:08:101
4.204;0.0980;00:44:08:102
4.196;0.0640;00:44:08:103
4.204;0.0970;00:44:08:104
4.204;0.0980;00:44:08:105
4.196;0.0980;00:44:08:106
4.220;0.0640;00:44:08:107
4.188;0.0970;00:44:08:108
4.196;0.0980;00:44:08:109
4.220;0.0970;00:44:08:110
4.188;0.0670;00:44:08:111
4.204;0.0960;00:44:08:112
4.196;0.0740;00:44:08:113
4.212;0.0740;00:44:08:114
4.196;0.0970;00:44:08:115
4.196;0.0390;00:44:08:116
4.196;0.0740;00:44:08:117
4.196;0.0970;00:44:08:118
4.196;0.0740;00:44:08:119
4.204;0.0390;00:44:08:120
4.196;0.0740;00:44:08:121
4.196;0.0740;00:44:08:122
4.196;0.0740;00:44:08:123
4.212;0.0410;00:44:08:124
4.196;0.0730;00:44:08:125
4.196;0.0740;00:44:08:126
4.196;0.0740;00:44:08:127
4.180;0.0660;00:44:08:128
4.196;0.0670;00:44:08:129
4.196;0.0740;00:44:08:130
4.204;0.0740;00:44:08:131
4.196;0.0740;00:44:08:132
4.188;0.0390;00:44:08:133
4.204;0.0740;00:44:08:134
4.188;0.0740;00:44:08:135
4.196;0.0740;00:44:08:136
4.220;0.0400;00:44:08:137
4.188;0.0740;00:44:08:138
4.204;0.0720;00:44:08:139
4.188;0.0740;00:44:08:140
4.188;0.0070;00:44:08:141
4.188;0.0700;00:44:08:142
4.188;0.0020;00:44:08:143
4.204;0.0740;00:44:08:144
4.196;0.0970;00:44:08:145
4.196;0.0020;00:44:08:146
4.212;0.0030;00:44:08:147
4.196;0.0740;00:44:08:148
4.196;0.0740;00:44:08:149
4.204;0.0030;00:44:08:150
4.228;0.0050;00:44:08:151
4.188;0.0710;00:44:08:152
4.188;0.0740;00:44:08:153
4.212;0.0050;00:44:08:154
4.180;0.0970;00:44:08:155
4.204;0.0430;00:44:08:156
4.196;0.0740;00:44:08:157
4.172;0.0110;00:44:08:158
4.196;0.0740;00:44:08:159
4.188;0.0030;00:44:08:160
4.204;0.0740;00:44:08:161
4.196;0.0740;00:44:08:162
4.196;0.0740;00:44:08:163
4.228;0.0040;00:44:08:164
4.180;0.0730;00:44:08:165
4.196;0.0740;00:44:08:166
4.188;0.0740;00:44:08:167
4.188;0.0070;00:44:08:168
4.212;0.0700;00:44:08:169
4.188;0.0740;00:44:08:170
4.204;0.0740;00:44:08:171
4.196;0.0970;00:44:08:172
4.196;0.0020;00:44:08:173
4.204;0.0740;00:44:08:174
4.196;0.0740;00:44:08:175
4.196;0.0740;00:44:08:176
4.204;0.0030;00:44:08:177
4.196;0.0740;00:44:08:178
4.196;0.0710;00:44:08:179
4.188;0.0740;00:44:08:180
4.220;0.0050;00:44:08:181
4.196;0.0710;00:44:08:182
4.188;0.0050;00:44:08:183
4.196;0.0740;00:44:08:184
4.172;0.0160;00:44:08:185
4.204;0.0670;00:44:08:186
4.196;0.0030;00:44:08:187
4.204;0.0740;00:44:08:188
4.196;0.0740;00:44:08:189
4.188;0.0030;00:44:08:190
4.204;0.0040;00:44:08:191
4.180;0.0730;00:44:08:192
4.196;0.0740;00:44:08:193
4.236;0.0030;00:44:08:194
4.180;0.0070;00:44:08:195
4.212;0.0700;00:44:08:196
4.188;0.0740;00:44:08:197
4.244;0.0070;00:44:08:198
4.148;0.0970;00:44:08:199
4.196;0.0410;00:44:08:200
4.196;0.0740;00:44:08:201
4.196;0.0970;00:44:08:202
4.196;0.0740;00:44:08:203
4.204;0.0410;00:44:08:204
4.196;0.0740;00:44:08:205
4.196;0.0740;00:44:08:206
4.196;0.0740;00:44:08:207
4.204;0.0420;00:44:08:208
4.196;0.0740;00:44:08:209
4.196;0.0740;00:44:08:210
4.212;0.0420;00:44:08:211
4.172;0.0520;00:44:08:212
4.196;0.0700;00:44:08:213
4.196;0.0740;00:44:08:214
4.180;0.0440;00:44:08:215
4.196;0.0740;00:44:08:216
4.196;0.0410;00:44:08:217
4.204;0.0740;00:44:08:218
4.196;0.0740;00:44:08:219
4.196;0.0740;00:44:08:220
4.220;0.0410;00:44:08:221
4.188;0.0740;00:44:08:222
4.196;0.0740;00:44:08:223
4.196;0.0740;00:44:08:224
4.188;0.0430;00:44:08:225
4.188;0.0730;00:44:08:226
4.196;0.0740;00:44:08:227
4.204;0.0740;00:44:08:228
4.196;0.0970;00:44:08:229
4.196;0.0410;00:44:08:230
4.196;0.0740;00:44:08:231
4.196;0.0740;00:44:08:232
4.196;0.0740;00:44:08:233
4.204;0.0410;00:44:08:234
4.196;0.0740;00:44:08:235
4.196;0.0730;00:44:08:236
4.196;0.0740;00:44:08:237
4.204;0.0420;00:44:08:238
4.196;0.0740;00:44:08:239
4.196;0.0480;00:44:08:240
4.196;0.0740;00:44:08:241
4.180;0.0470;00:44:08:242
4.196;0.0710;00:44:08:243
4.188;0.0410;00:44:08:244
4.204;0.0740;00:44:08:245
4.196;0.0740;00:44:08:246
4.188;0.0410;00:44:08:247
4.220;0.0410;00:44:08:248
4.188;0.0740;00:44:08:249
4.196;0.0740;00:44:08:250
4.220;0.0410;00:44:08:251
4.188;0.0430;00:44:08:252
4.204;0.0730;00:44:08:253
4.196;0.0740;00:44:08:254
4.204;0.0430;00:44:08:255
4.196;0.0970;00:44:08:256
4.196;0.0410;00:44:08:257
4.196;0.0740;00:44:08:258
4.196;0.0970;00:44:08:259
4.196;0.0740;00:44:08:260
4.204;0.0390;00:44:08:261
4.196;0.0740;00:44:08:262
4.196;0.0740;00:44:08:263
4.196;0.0740;00:44:08:264
4.212;0.0410;00:44:08:265
4.196;0.0730;00:44:08:266
4.196;0.0740;00:44:08:267
4.196;0.0740;00:44:08:268
4.180;0.0690;00:44:08:269
4.196;0.0670;00:44:08:270
4.196;0.0740;00:44:08:271
4.180;0.0740;00:44:08:272
4.196;0.0740;00:44:08:273
4.188;0.0390;00:44:08:274
4.204;0.0740;00:44:08:275
4.196;0.0740;00:44:08:276
4.196;0.0740;00:44:08:277
4.220;0.0400;00:44:08:278
4.188;0.0740;00:44:08:279
4.196;0.0720;00:44:08:280
4.196;0.0740;00:44:08:281
4.188;0.0410;00:44:08:282
4.204;0.0720;00:44:08:283
4.196;0.0390;00:44:08:284
4.204;0.0740;00:44:08:285
4.196;0.0970;00:44:08:286
4.196;0.0390;00:44:08:287
4.204;0.0390;00:44:08:288
4.196;0.0740;00:44:08:289
4.196;0.0740;00:44:08:290
4.204;0.0390;00:44:08:291
4.196;0.0410;00:44:08:292
4.188;0.0730;00:44:08:293
4.196;0.0740;00:44:08:294
4.212;0.0410;00:44:08:295
4.196;0.0970;00:44:08:296
4.196;0.0390;00:44:08:297
4.196;0.0740;00:44:08:298
4.180;0.0820;00:44:08:299
4.196;0.0650;00:44:08:300
4.196;0.0390;00:44:08:301
4.204;0.0740;00:44:08:302
4.196;0.0740;00:44:08:303
4.196;0.0390;00:44:08:304
4.220;0.0400;00:44:08:305
4.188;0.0740;00:44:08:306
4.196;0.0740;00:44:08:307
4.220;0.0400;00:44:08:308
4.188;0.0410;00:44:08:309
4.204;0.0720;00:44:08:310
4.196;0.0740;00:44:08:311
4.188;0.0410;00:44:08:312
4.196;0.0930;00:44:08:313
4.188;0.0390;00:44:08:314
4.204;0.0740;00:44:08:315
4.196;0.0970;00:44:08:316
4.196;0.0740;00:44:08:317
4.204;0.0390;00:44:08:318
4.196;0.0740;00:44:08:319
4.196;0.0740;00:44:08:320
4.188;0.0740;00:44:08:321
4.236;0.0050;00:44:08:322
4.180;0.0710;00:44:08:323
4.188;0.0740;00:44:08:324
4.196;0.0740;00:44:08:325
4.188;0.0970;00:44:08:326
4.204;0.0030;00:44:08:327
4.196;0.0740;00:44:08:328
4.204;0.0740;00:44:08:329
4.196;0.0740;00:44:08:330
4.188;0.0030;00:44:08:331
4.204;0.0740;00:44:08:332
4.180;0.0720;00:44:08:333
4.196;0.0740;00:44:08:334
4.228;0.0040;00:44:08:335
4.180;0.0730;00:44:08:336
4.212;0.0700;00:44:08:337
4.188;0.0740;00:44:08:338
4.188;0.0070;00:44:08:339
4.212;0.0700;00:44:08:340
4.188;0.0020;00:44:08:341
4.204;0.0740;00:44:08:342
4.196;0.0970;00:44:08:343
4.196;0.0020;00:44:08:344
4.220;0.0030;00:44:08:345
4.196;0.0740;00:44:08:346
4.196;0.0740;00:44:08:347
4.204;0.0030;00:44:08:348
4.244;0.0060;00:44:08:349
4.180;0.0710;00:44:08:350
4.188;0.0740;00:44:08:351
4.220;0.0050;00:44:08:352
4.196;0.0970;00:44:08:353
4.204;0.0020;00:44:08:354
4.196;0.0740;00:44:08:355
4.172;0.0210;00:44:08:356
4.196;0.0740;00:44:08:357
4.188;0.0030;00:44:08:358
4.204;0.0740;00:44:08:359
4.196;0.0740;00:44:08:360
4.188;0.0740;00:44:08:361
4.228;0.0040;00:44:08:362
4.180;0.0730;00:44:08:363
4.196;0.0740;00:44:08:364
4.236;0.0740;00:44:08:365
4.188;0.0070;00:44:08:366
4.212;0.0700;00:44:08:367
4.188;0.0740;00:44:08:368
4.244;0.0740;00:44:08:369
4.196;0.0970;00:44:08:370
4.196;0.0020;00:44:08:371
4.204;0.0740;00:44:08:372
4.196;0.0740;00:44:08:373
4.196;0.0740;00:44:08:374
4.204;0.0030;00:44:08:375
4.196;0.0740;00:44:08:376
4.196;0.0710;00:44:08:377
4.188;0.0740;00:44:08:378
4.220;0.0410;00:44:08:379
4.196;0.0730;00:44:08:380
4.196;0.0410;00:44:08:381
4.196;0.0740;00:44:08:382
4.180;0.0490;00:44:08:383
4.204;0.0710;00:44:08:384
4.196;0.0410;00:44:08:385
4.204;0.0740;00:44:08:386
4.196;0.0740;00:44:08:387
4.188;0.0410;00:44:08:388
4.204;0.0740;00:44:08:389
4.188;0.0740;00:44:08:390
4.196;0.0740;00:44:08:391
4.220;0.0410;00:44:08:392
4.188;0.0740;00:44:08:393
4.204;0.0730;00:44:08:394
4.196;0.0740;00:44:08:395
4.220;0.0430;00:44:08:396
4.172;0.0730;00:44:08:397
4.188;0.0410;00:44:08:398
4.196;0.0740;00:44:08:399
4.196;0.0970;00:44:08:400
4.196;0.0410;00:44:08:401
4.204;0.0410;00:44:08:402
4.196;0.0740;00:44:08:403
4.196;0.0740;00:44:08:404
4.196;0.0410;00:44:08:405
4.212;0.0420;00:44:08:406
4.196;0.0740;00:44:08:407
4.196;0.0740;00:44:08:408
4.212;0.0420;00:44:08:409
4.180;0.0480;00:44:08:410
4.196;0.0710;00:44:08:411
4.196;0.0740;00:44:08:412
4.180;0.0440;00:44:08:413
4.196;0.0740;00:44:08:414
4.196;0.0410;00:44:08:415
4.204;0.0740;00:44:08:416
4.196;0.0740;00:44:08:417
4.196;0.0740;00:44:08:418
4.220;0.0410;00:44:08:419
4.188;0.0740;00:44:08:420
4.196;0.0740;00:44:08:421
4.196;0.0740;00:44:08:422
4.228;0.0430;00:44:08:423
4.172;0.0730;00:44:08:424
4.196;0.0740;00:44:08:425
4.196;0.0740;00:44:08:426
4.196;0.0970;00:44:08:427
4.196;0.0410;00:44:08:428
4.196;0.0740;00:44:08:429
4.204;0.0740;00:44:08:430
4.196;0.0740;00:44:08:431
4.196;0.0410;00:44:08:432
4.204;0.0740;00:44:08:433
4.196;0.0740;00:44:08:434
4.196;0.0740;00:44:08:435
4.212;0.0410;00:44:08:436
4.188;0.0740;00:44:08:437
4.204;0.0720;00:44:08:438
4.196;0.0740;00:44:08:439
4.188;0.0410;00:44:08:440
4.204;0.0720;00:44:08:441
4.188;0.0390;00:44:08:442
4.204;0.0740;00:44:08:443
4.196;0.0740;00:44:08:444
4.188;0.0390;00:44:08:445
4.212;0.0390;00:44:08:446
4.188;0.0740;00:44:08:447
4.196;0.0740;00:44:08:448
4.212;0.0390;00:44:08:449
4.236;0.0410;00:44:08:450
4.172;0.0730;00:44:08:451
4.196;0.0740;00:44:08:452
4.220;0.0410;00:44:08:453
4.188;0.0970;00:44:08:454
4.196;0.0390;00:44:08:455
4.196;0.0740;00:44:08:456
4.196;0.0970;00:44:08:457
4.196;0.0740;00:44:08:458
4.196;0.0390;00:44:08:459
4.204;0.0740;00:44:08:460
4.196;0.0740;00:44:08:461
4.196;0.0740;00:44:08:462
4.212;0.0400;00:44:08:463
4.188;0.0740;00:44:08:464
4.196;0.0740;00:44:08:465
4.220;0.0740;00:44:08:466
4.188;0.0410;00:44:08:467
4.204;0.0720;00:44:08:468
4.196;0.0740;00:44:08:469
4.188;0.0740;00:44:08:470
4.196;0.0870;00:44:08:471
4.188;0.0390;00:44:08:472
4.204;0.0740;00:44:08:473
4.196;0.0740;00:44:08:474
4.196;0.0740;00:44:08:475
4.204;0.0390;00:44:08:476
4.196;0.0740;00:44:08:477
4.196;0.0730;00:44:08:478
4.196;0.0740;00:44:08:479
4.212;0.0410;00:44:08:480
4.196;0.0730;00:44:08:481
4.196;0.0740;00:44:08:482
4.196;0.0740;00:44:08:483
4.188;0.0930;00:44:08:484
4.196;0.0640;00:44:08:485
4.196;0.0740;00:44:08:486
4.204;0.0740;00:44:08:487
4.196;0.0740;00:44:08:488
4.188;0.0390;00:44:08:489
4.204;0.0740;00:44:08:490
4.188;0.0740;00:44:08:491
4.196;0.0740;00:44:08:492
4.220;0.0400;00:44:08:493
4.188;0.0740;00:44:08:494
4.204;0.0720;00:44:08:495
4.196;0.0740;00:44:08:496
4.204;0.0410;00:44:08:497
4.180;0.0730;00:44:08:498
4.196;0.0030;00:44:08:499
4.204;0.0740;00:44:08:500
4.196;0.0970;00:44:08:501
4.196;0.0020;00:44:08:502
4.204;0.0030;00:44:08:503
4.196;0.0740;00:44:08:504
4.196;0.0740;00:44:08:505
4.196;0.0030;00:44:08:506
4.220;0.0050;00:44:08:507
4.196;0.0710;00:44:08:508
4.188;0.0740;00:44:08:509
4.212;0.0050;00:44:08:510
4.172;0.0160;00:44:08:511
4.204;0.0670;00:44:08:512
4.196;0.0740;00:44:08:513
4.180;0.0080;00:44:08:514
4.196;0.0740;00:44:08:515
4.188;0.0030;00:44:08:516
4.204;0.0740;00:44:08:517
4.196;0.0740;00:44:08:518
4.196;0.0740;00:44:08:519
4.228;0.0030;00:44:08:520
4.180;0.0730;00:44:08:521
4.196;0.0740;00:44:08:522
4.188;0.0740;00:44:08:523
4.261;0.0070;00:44:08:524
4.140;0.0700;00:44:08:525
4.188;0.0740;00:44:08:526
4.204;0.0740;00:44:08:527
4.196;0.0970;00:44:08:528
4.196;0.0020;00:44:08:529
4.204;0.0740;00:44:08:530
4.196;0.0740;00:44:08:531
4.196;0.0740;00:44:08:532
4.196;0.0030;00:44:08:533
4.204;0.0740;00:44:08:534
4.188;0.0720;00:44:08:535
4.188;0.0740;00:44:08:536
4.220;0.0050;00:44:08:537
4.188;0.0720;00:44:08:538
4.204;0.0690;00:44:08:539
4.196;0.0740;00:44:08:540
4.188;0.0080;00:44:08:541
4.204;0.0700;00:44:08:542
4.188;0.0030;00:44:08:543
4.204;0.0740;00:44:08:544
4.196;0.0740;00:44:08:545
4.188;0.0020;00:44:08:546
4.204;0.0030;00:44:08:547
4.180;0.0730;00:44:08:548
4.196;0.0740;00:44:08:549
4.220;0.0030;00:44:08:550
4.188;0.0060;00:44:08:551
4.140;0.0700;00:44:08:552
4.188;0.0740;00:44:08:553
4.253;0.0060;00:44:08:554
4.172;0.0970;00:44:08:555
4.196;0.0020;00:44:08:556
4.196;0.0740;00:44:08:557
4.196;0.0970;00:44:08:558
4.204;0.0740;00:44:08:559
4.196;0.0410;00:44:08:560
4.204;0.0740;00:44:08:561
4.196;0.0740;00:44:08:562
4.196;0.0740;00:44:08:563
4.212;0.0410;00:44:08:564
4.188;0.0740;00:44:08:565
4.196;0.0740;00:44:08:566
4.220;0.0740;00:44:08:567
4.188;0.0440;00:44:08:568
4.204;0.0720;00:44:08:569
4.196;0.0740;00:44:08:570
4.188;0.0430;00:44:08:571
4.196;0.0780;00:44:08:572
4.196;0.0410;00:44:08:573
4.204;0.0740;00:44:08:574
4.196;0.0970;00:44:08:575
4.196;0.0740;00:44:08:576
4.212;0.0410;00:44:08:577
4.196;0.0740;00:44:08:578
4.196;0.0740;00:44:08:579
4.196;0.0740;00:44:08:580
