#Device;NGC103
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.005-02.430-03.730
#Serial No.;000100954
#Mode;Unlimited
#Logging Interval[s];0.001
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Sequence;Off
#CH1 Voltage Target[V];4.200
#CH1 Current Target[A];0.200
#CH1 Sequence Delay[s];-----
#CH1 EasyArb;Off
#CH1 OVP;Off
#CH1 OPP;Off
#CH1 Ramp;Off
#CH1 Analog in;Off
#Start Time;00:43:54
#Stop Time;00:44:23
#Actual Count; 29911      
U1[V];I1[A];Timestamp
4.180;0.0970;00:43:54:286
4.196;0.0390;00:43:54:287
4.196;0.0740;00:43:54:288
4.196;0.0970;00:43:54:289
4.196;0.0750;00:43:54:290
4.196;0.0390;00:43:54:291
4.204;0.0740;00:43:54:292
4.196;0.0750;00:43:54:293
4.196;0.0750;00:43:54:294
4.212;0.0410;00:43:54:295
4.196;0.0740;00:43:54:296
4.196;0.0750;00:43:54:297
4.212;0.0750;00:43:54:298
4.180;0.0420;00:43:54:299
4.204;0.0730;00:43:54:300
4.196;0.0750;00:43:54:301
4.188;0.0750;00:43:54:302
4.196;0.0750;00:43:54:303
4.188;0.0020;00:43:54:304
4.204;0.0740;00:43:54:305
4.196;0.0740;00:43:54:306
4.196;0.0740;00:43:54:307
4.228;0.0030;00:43:54:308
4.188;0.0740;00:43:54:309
4.196;0.0700;00:43:54:310
4.188;0.0740;00:43:54:311
4.269;0.0060;00:43:54:312
4.148;0.0710;00:43:54:313
4.188;0.0740;00:43:54:314
4.196;0.0740;00:43:54:315
4.196;0.0970;00:43:54:316
4.196;0.0020;00:43:54:317
4.196;0.0740;00:43:54:318
4.196;0.0740;00:43:54:319
4.196;0.0750;00:43:54:320
4.188;0.0030;00:43:54:321
4.204;0.0740;00:43:54:322
4.188;0.0720;00:43:54:323
4.188;0.0750;00:43:54:324
4.220;0.0040;00:43:54:325
4.180;0.0730;00:43:54:326
4.204;0.0700;00:43:54:327
4.196;0.0740;00:43:54:328
4.188;0.0080;00:43:54:329
4.212;0.0700;00:43:54:330
4.188;0.0020;00:43:54:331
4.204;0.0740;00:43:54:332
4.196;0.0830;00:43:54:333
4.188;0.0020;00:43:54:334
4.228;0.0030;00:43:54:335
4.188;0.0740;00:43:54:336
4.196;0.0750;00:43:54:337
4.220;0.0030;00:43:54:338
4.269;0.0060;00:43:54:339
4.148;0.0710;00:43:54:340
4.188;0.0740;00:43:54:341
4.244;0.0060;00:43:54:342
4.196;0.0970;00:43:54:343
4.196;0.0020;00:43:54:344
4.196;0.0740;00:43:54:345
4.196;0.0970;00:43:54:346
4.196;0.0750;00:43:54:347
4.188;0.0030;00:43:54:348
4.204;0.0740;00:43:54:349
4.196;0.0750;00:43:54:350
4.188;0.0750;00:43:54:351
4.220;0.0040;00:43:54:352
4.180;0.0730;00:43:54:353
4.196;0.0740;00:43:54:354
4.188;0.0740;00:43:54:355
4.188;0.0080;00:43:54:356
4.212;0.0700;00:43:54:357
4.188;0.0740;00:43:54:358
4.204;0.0740;00:43:54:359
4.196;0.0750;00:43:54:360
4.188;0.0020;00:43:54:361
4.204;0.0740;00:43:54:362
4.188;0.0740;00:43:54:363
4.196;0.0750;00:43:54:364
4.212;0.0410;00:43:54:365
4.196;0.0740;00:43:54:366
4.172;0.0730;00:43:54:367
